"id","roa","asset_turnover","maintenance_cost","unit_cost","updated_date"
37,96,1.4717303683023308,154,471,2018-08-01 00:00:00
38,84,0.9037587494127336,199,476,2018-07-01 00:00:00
39,91,1.3329554860182717,117,457,2018-06-01 00:00:00
40,85,1.4146832385103503,164,467,2018-05-01 00:00:00
41,94,1.7773575262025338,134,464,2018-04-01 00:00:00
42,94,1.06838085965097,105,459,2018-03-01 00:00:00
43,87,1.3268371743792637,150,455,2018-02-01 00:00:00
44,99,0.9209421614700093,145,467,2018-01-01 00:00:00
45,97,1.744410625931805,156,466,2017-12-01 00:00:00
46,80,1.169734437237396,156,495,2017-11-01 00:00:00
47,91,1.7750862314540672,167,496,2017-10-01 00:00:00
48,92,1.3576704210964552,139,497,2017-09-01 00:00:00
